condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
baseline,56,30,134,4.4667,3.319,12.68,3.319,,0
baseline,57,30,157,5.2333,3.1697,13.14,3.1697,,0
baseline,58,30,144,4.8,3.0671,12.88,3.0671,,0
baseline,59,30,145,4.8333,3.0181,12.9,3.0181,,0
baseline,60,30,163,5.4333,3.2343,13.26,3.2343,,0
baseline,61,30,150,5,2.7668,13.0,2.7668,,0
baseline,62,30,155,5.1667,3.1741,13.1,3.1741,,0
baseline,63,30,156,5.2,2.7342,13.12,2.7342,,0
baseline,64,30,141,4.7,2.996,12.82,2.996,,0
baseline,65,30,151,5.0333,2.4842,13.02,2.4842,,0
baseline,66,30,162,5.4,2.8959,13.24,2.8959,,0
baseline,67,30,145,4.8333,2.6008,12.9,2.6008,,0
baseline,68,30,148,4.9333,3.005,12.96,3.005,,0
baseline,69,30,153,5.1,2.7209,13.06,2.7209,,0
baseline,70,30,145,4.8333,2.7803,12.9,2.7803,,0
baseline,71,30,153,5.1,3.0098,13.06,3.0098,,0
baseline,72,30,143,4.7667,2.873,12.86,2.873,,0
baseline,73,30,154,5.1333,2.4457,13.08,2.4457,,0
baseline,74,30,145,4.8333,2.5063,12.9,2.5063,,0
baseline,75,30,143,4.7667,2.979,12.86,2.979,,0
baseline,76,30,141,4.7,2.8666,12.82,2.8666,,0
baseline,77,30,147,4.9,2.869,12.94,2.869,,0
baseline,78,30,152,5.0667,2.3479,13.04,2.3479,,0
baseline,79,30,149,4.9667,2.8945,12.98,2.8945,,0
baseline,80,30,161,5.3667,2.9418,13.22,2.9418,,0
baseline,81,30,152,5.0667,3.1065,13.04,3.1065,,0
baseline,82,30,149,4.9667,3.1347,12.98,3.1347,,0
baseline,83,30,154,5.1333,3.0932,13.08,3.0932,,0
baseline,84,30,151,5.0333,2.93,13.02,2.93,,0
baseline,85,30,150,5,3.1073,13.0,3.1073,,0
baseline,86,30,139,4.6333,2.5929,12.78,2.5929,,0
baseline,87,30,142,4.7333,2.876,12.84,2.876,,0
baseline,88,30,150,5,2.9478,13.0,2.9478,,0
baseline,89,30,140,4.6667,2.9517,12.8,2.9517,,0
baseline,90,30,153,5.1,2.8082,13.06,2.8082,,0
baseline,91,30,136,4.5333,2.751,12.72,2.751,,0
baseline,92,30,156,5.2,3.1228,13.12,3.1228,,0
baseline,93,30,144,4.8,2.8816,12.88,2.8816,,0
baseline,94,30,155,5.1667,2.8778,13.1,2.8778,,0
baseline,95,30,136,4.5333,2.8736,12.72,2.8736,,0
baseline,96,30,127,4.2333,2.979,12.54,2.979,,0
baseline,97,30,125,4.1667,2.7302,12.5,2.7302,,0
baseline,98,30,132,4.4,2.9431,12.64,2.9431,,0
baseline,99,30,141,4.7,2.6542,12.82,2.6542,,0
baseline,100,30,155,5.1667,2.8172,13.1,2.8172,,0
baseline,101,30,145,4.8333,3.1523,12.9,3.1523,,0
baseline,102,30,154,5.1333,2.9094,13.08,2.9094,,0
baseline,103,30,134,4.4667,3.0369,12.68,3.0369,,0
baseline,104,30,145,4.8333,3.1413,12.9,3.1413,,0
baseline,105,30,163,5.4333,3.0136,13.26,3.0136,,0
baseline,106,30,140,4.6667,2.3094,12.8,2.3094,,0
baseline,107,30,167,5.5667,3.1149,13.34,3.1149,,0
baseline,108,30,161,5.3667,2.8706,13.22,2.8706,,0
baseline,109,30,146,4.8667,2.5962,12.92,2.5962,,0
baseline,110,30,133,4.4333,2.4591,12.66,2.4591,,0
baseline,111,30,154,5.1333,2.7258,13.08,2.7258,,0
baseline,112,30,150,5,3.1073,13.0,3.1073,,0
baseline,113,30,161,5.3667,3.0454,13.22,3.0454,,0
baseline,114,30,145,4.8333,2.7554,12.9,2.7554,,0
baseline,115,30,135,4.5,2.9566,12.7,2.9566,,0
baseline,116,30,143,4.7667,2.979,12.86,2.979,,0
baseline,117,30,147,4.9,3.0098,12.94,3.0098,,0
baseline,118,30,133,4.4333,2.7753,12.66,2.7753,,0
baseline,119,30,136,4.5333,3.0027,12.72,3.0027,,0
baseline,120,30,146,4.8667,2.8007,12.92,2.8007,,0
baseline,121,30,148,4.9333,2.6514,12.96,2.6514,,0
baseline,122,30,147,4.9,2.9048,12.94,2.9048,,0
baseline,123,30,143,4.7667,2.9206,12.86,2.9206,,0
baseline,124,30,163,5.4333,2.8969,13.26,2.8969,,0
baseline,125,30,149,4.9667,2.9998,12.98,2.9998,,0
baseline,126,30,149,4.9667,2.9064,12.98,2.9064,,0
baseline,127,30,167,5.5667,3.0021,13.34,3.0021,,0
baseline,128,30,146,4.8667,2.3887,12.92,2.3887,,0
baseline,129,30,149,4.9667,2.8826,12.98,2.8826,,0
baseline,130,30,148,4.9333,2.7409,12.96,2.7409,,0
baseline,131,30,145,4.8333,3.3537,12.9,3.3537,,0
baseline,132,30,143,4.7667,2.6611,12.86,2.6611,,0
baseline,133,30,141,4.7,2.8666,12.82,2.8666,,0
baseline,134,30,138,4.6,2.6987,12.76,2.6987,,0
baseline,135,30,146,4.8667,2.7384,12.92,2.7384,,0
baseline,136,30,159,5.3,2.6801,13.18,2.6801,,0
baseline,137,30,141,4.7,2.4656,12.82,2.4656,,0
baseline,138,30,135,4.5,3.0934,12.7,3.0934,,0
baseline,139,30,141,4.7,3.0643,12.82,3.0643,,0
baseline,140,30,141,4.7,3.1748,12.82,3.1748,,0
baseline,141,30,141,4.7,2.8786,12.82,2.8786,,0
baseline,142,30,160,5.3333,3.155,13.2,3.155,,0
baseline,143,30,152,5.0667,3.1287,13.04,3.1287,,0
baseline,144,30,162,5.4,2.6987,13.24,2.6987,,0
baseline,145,30,158,5.2667,2.9819,13.16,2.9819,,0
baseline,146,30,143,4.7667,3.1259,12.86,3.1259,,0
baseline,147,30,148,4.9333,2.6773,12.96,2.6773,,0
baseline,148,30,145,4.8333,2.6533,12.9,2.6533,,0
baseline,149,30,142,4.7333,2.8154,12.84,2.8154,,0
baseline,150,30,158,5.2667,3.2476,13.16,3.2476,,0
baseline,151,30,159,5.3,3.0303,13.18,3.0303,,0
baseline,152,30,159,5.3,2.7184,13.18,2.7184,,0
baseline,153,30,156,5.2,2.7718,13.12,2.7718,,0
baseline,154,30,150,5,2.6781,13.0,2.6781,,0
baseline,155,30,155,5.1667,2.8172,13.1,2.8172,,0
baseline,156,30,139,4.6333,2.7976,12.78,2.7976,,0
baseline,157,30,143,4.7667,3.2022,12.86,3.2022,,0
baseline,158,30,155,5.1667,3.0635,13.1,3.0635,,0
baseline,159,30,162,5.4,2.872,13.24,2.872,,0
baseline,160,30,152,5.0667,2.9353,13.04,2.9353,,0
baseline,161,30,149,4.9667,2.9883,12.98,2.9883,,0
baseline,162,30,136,4.5333,2.751,12.72,2.751,,0
baseline,163,30,128,4.2667,2.766,12.56,2.766,,0
baseline,164,30,137,4.5667,2.7628,12.74,2.7628,,0
baseline,165,30,150,5,2.8406,13.0,2.8406,,0
baseline,166,30,148,4.9333,2.7535,12.96,2.7535,,0
baseline,167,30,166,5.5333,3.1484,13.32,3.1484,,0
baseline,168,30,151,5.0333,2.9535,13.02,2.9535,,0
baseline,169,30,130,4.3333,2.9981,12.6,2.9981,,0
baseline,170,30,150,5,3.0738,13.0,3.0738,,0
baseline,171,30,143,4.7667,3.0364,12.86,3.0364,,0
baseline,172,30,153,5.1,2.7836,13.06,2.7836,,0
baseline,173,30,153,5.1,2.8082,13.06,2.8082,,0
baseline,174,30,143,4.7667,2.8969,12.86,2.8969,,0
baseline,175,30,151,5.0333,2.8826,13.02,2.8826,,0
baseline,176,30,149,4.9667,3.0792,12.98,3.0792,,0
baseline,177,30,152,5.0667,3.1616,13.04,3.1616,,0
baseline,178,30,144,4.8,2.7965,12.88,2.7965,,0
baseline,179,30,157,5.2333,2.873,13.14,2.873,,0
baseline,180,30,167,5.5667,2.861,13.34,2.861,,0
baseline,181,30,160,5.3333,2.8688,13.2,2.8688,,0
baseline,182,30,147,4.9,2.881,12.94,2.881,,0
baseline,183,30,148,4.9333,2.9935,12.96,2.9935,,0
baseline,184,30,157,5.2333,3.059,13.14,3.059,,0
baseline,185,30,145,4.8333,3.1413,12.9,3.1413,,0
baseline,186,30,141,4.7,2.7562,12.82,2.7562,,0
baseline,187,30,155,5.1667,2.8537,13.1,2.8537,,0
baseline,188,30,144,4.8,2.4969,12.88,2.4969,,0
baseline,189,30,150,5,2.9125,13.0,2.9125,,0
baseline,190,30,134,4.4667,2.751,12.68,2.751,,0
baseline,191,30,143,4.7667,2.979,12.86,2.979,,0
baseline,192,30,149,4.9667,2.7976,12.98,2.7976,,0
baseline,193,30,151,5.0333,3.0454,13.02,3.0454,,0
baseline,194,30,148,4.9333,2.5989,12.96,2.5989,,0
baseline,195,30,153,5.1,3.2094,13.06,3.2094,,0
baseline,196,30,140,4.6667,2.6566,12.8,2.6566,,0
baseline,197,30,142,4.7333,2.9235,12.84,2.9235,,0
baseline,198,30,150,5,2.8648,13.0,2.8648,,0
baseline,199,30,155,5.1667,2.9371,13.1,2.9371,,0
baseline,200,30,146,4.8667,2.9564,12.92,2.9564,,0
