condition,round_id,num_agents,total_contribution,average_contribution,std_contribution,average_payoff,std_payoff,average_prediction_error,num_predictions
baseline,98,30,144,4.8,2.9873,12.88,2.9873,,0
baseline,99,30,154,5.1333,3.2242,13.08,3.2242,,0
baseline,100,30,152,5.0667,2.8154,13.04,2.8154,,0
baseline,101,30,155,5.1667,2.7554,13.1,2.7554,,0
baseline,102,30,139,4.6333,2.8099,12.78,2.8099,,0
baseline,103,30,138,4.6,3.024,12.76,3.024,,0
baseline,104,30,153,5.1,2.9519,13.06,2.9519,,0
baseline,105,30,154,5.1333,3.0256,13.08,3.0256,,0
baseline,106,30,147,4.9,3.1332,12.94,3.1332,,0
baseline,107,30,165,5.5,2.8254,13.3,2.8254,,0
baseline,108,30,145,4.8333,3.0971,12.9,3.0971,,0
baseline,109,30,158,5.2667,2.6384,13.16,2.6384,,0
baseline,110,30,145,4.8333,3.1303,12.9,3.1303,,0
baseline,111,30,141,4.7,2.8303,12.82,2.8303,,0
baseline,112,30,158,5.2667,3.005,13.16,3.005,,0
baseline,113,30,135,4.5,2.7386,12.7,2.7386,,0
baseline,114,30,131,4.3667,2.7728,12.62,2.7728,,0
baseline,115,30,154,5.1333,2.9094,13.08,2.9094,,0
baseline,116,30,149,4.9667,2.6715,12.98,2.6715,,0
baseline,117,30,151,5.0333,2.7478,13.02,2.7478,,0
baseline,118,30,149,4.9667,3.1675,12.98,3.1675,,0
baseline,119,30,135,4.5,2.636,12.7,2.636,,0
baseline,120,30,132,4.4,2.4011,12.64,2.4011,,0
baseline,121,30,135,4.5,2.5563,12.7,2.5563,,0
baseline,122,30,162,5.4,2.9196,13.24,2.9196,,0
baseline,123,30,146,4.8667,2.8975,12.92,2.8975,,0
baseline,124,30,136,4.5333,2.7759,12.72,2.7759,,0
baseline,125,30,144,4.8,3.2313,12.88,3.2313,,0
baseline,126,30,161,5.3667,3.0567,13.22,3.0567,,0
baseline,127,30,141,4.7,2.6412,12.82,2.6412,,0
baseline,128,30,142,4.7333,2.6253,12.84,2.6253,,0
baseline,129,30,143,4.7667,3.0021,12.86,3.0021,,0
baseline,130,30,139,4.6333,2.7478,12.78,2.7478,,0
baseline,131,30,135,4.5,2.649,12.7,2.649,,0
baseline,132,30,150,5,3.1404,13.0,3.1404,,0
baseline,133,30,127,4.2333,3.1038,12.54,3.1038,,0
baseline,134,30,131,4.3667,2.9767,12.62,2.9767,,0
baseline,135,30,125,4.1667,2.7428,12.5,2.7428,,0
baseline,136,30,133,4.4333,2.8489,12.66,2.8489,,0
baseline,137,30,132,4.4,3.0581,12.64,3.0581,,0
baseline,138,30,149,4.9667,2.8945,12.98,2.8945,,0
baseline,139,30,133,4.4333,2.9558,12.66,2.9558,,0
baseline,140,30,126,4.2,3.0445,12.52,3.0445,,0
baseline,141,30,134,4.4667,3.1484,12.68,3.1484,,0
baseline,142,30,158,5.2667,3.3107,13.16,3.3107,,0
baseline,143,30,144,4.8,2.8575,12.88,2.8575,,0
baseline,144,30,146,4.8667,3.2135,12.92,3.2135,,0
baseline,145,30,171,5.7,2.8058,13.42,2.8058,,0
baseline,146,30,164,5.4667,2.8374,13.28,2.8374,,0
baseline,147,30,139,4.6333,2.6193,12.78,2.6193,,0
baseline,148,30,155,5.1667,2.3647,13.1,2.3647,,0
baseline,149,30,156,5.2,2.7216,13.12,2.7216,,0
baseline,150,30,159,5.3,2.7687,13.18,2.7687,,0
baseline,151,30,150,5,3.085,13.0,3.085,,0
baseline,152,30,146,4.8667,2.9447,12.92,2.9447,,0
baseline,153,30,133,4.4333,2.5688,12.66,2.5688,,0
baseline,154,30,132,4.4,2.7618,12.64,2.7618,,0
baseline,155,30,138,4.6,2.7867,12.76,2.7867,,0
baseline,156,30,145,4.8333,3.0522,12.9,3.0522,,0
baseline,157,30,150,5,2.6523,13.0,2.6523,,0
baseline,158,30,151,5.0333,2.93,13.02,2.93,,0
baseline,159,30,145,4.8333,3.0295,12.9,3.0295,,0
baseline,160,30,151,5.0333,2.4138,13.02,2.4138,,0
baseline,161,30,150,5,2.9942,13.0,2.9942,,0
baseline,162,30,143,4.7667,2.8489,12.86,2.8489,,0
baseline,163,30,138,4.6,2.8357,12.76,2.8357,,0
baseline,164,30,143,4.7667,3.0815,12.86,3.0815,,0
baseline,165,30,145,4.8333,2.8537,12.9,2.8537,,0
baseline,166,30,139,4.6333,2.7852,12.78,2.7852,,0
baseline,167,30,147,4.9,2.7836,12.94,2.7836,,0
baseline,168,30,143,4.7667,2.9324,12.86,2.9324,,0
baseline,169,30,144,4.8,3.1448,12.88,3.1448,,0
baseline,170,30,155,5.1667,3.2065,13.1,3.2065,,0
baseline,171,30,131,4.3667,2.5661,12.62,2.5661,,0
baseline,172,30,142,4.7333,2.864,12.84,2.864,,0
baseline,173,30,160,5.3333,2.7207,13.2,2.7207,,0
baseline,174,30,159,5.3,3.0867,13.18,3.0867,,0
baseline,175,30,140,4.6667,2.6042,12.8,2.6042,,0
baseline,176,30,155,5.1667,3.0181,13.1,3.0181,,0
baseline,177,30,132,4.4,2.4719,12.64,2.4719,,0
baseline,178,30,155,5.1667,2.9016,13.1,2.9016,,0
baseline,179,30,131,4.3667,3.2429,12.62,3.2429,,0
baseline,180,30,153,5.1,3.2094,13.06,3.2094,,0
baseline,181,30,156,5.2,3.1775,13.12,3.1775,,0
baseline,182,30,152,5.0667,2.6121,13.04,2.6121,,0
baseline,183,30,156,5.2,2.7216,13.12,2.7216,,0
baseline,184,30,160,5.3333,2.9517,13.2,2.9517,,0
baseline,185,30,127,4.2333,2.6869,12.54,2.6869,,0
baseline,186,30,142,4.7333,3.2476,12.84,3.2476,,0
baseline,187,30,148,4.9333,2.9353,12.96,2.9353,,0
baseline,188,30,132,4.4,2.872,12.64,2.872,,0
baseline,189,30,132,4.4,2.7367,12.64,2.7367,,0
baseline,190,30,146,4.8667,3.0141,12.92,3.0141,,0
baseline,191,30,150,5,3.0962,13.0,3.0962,,0
baseline,192,30,141,4.7,2.9612,12.82,2.9612,,0
baseline,193,30,151,5.0333,2.9883,13.02,2.9883,,0
baseline,194,30,146,4.8667,3.0256,12.92,3.0256,,0
baseline,195,30,140,4.6667,3.0551,12.8,3.0551,,0
baseline,196,30,155,5.1667,3.0181,13.1,3.0181,,0
baseline,197,30,140,4.6667,3.1876,12.8,3.1876,,0
baseline,198,30,163,5.4333,3.1038,13.26,3.1038,,0
baseline,199,30,156,5.2,2.9642,13.12,2.9642,,0
baseline,200,30,144,4.8,2.9408,12.88,2.9408,,0
